"year","pool_size","backlog_n2plus","odds_n0","odds_n1","odds_n2","odds_n3","rookie_slots","auto_eligible","auto_slots","auto_at","growth","aware","auto_share"
2027,1018,150,0,0,1,1,0,150,149.8,2,0.1,FALSE,1.56041666666667
2028,1099,134,0,0,1,NA,0,134,133.7,2,0.1,FALSE,1.39270833333333
2029,1220,152,0,0,1,NA,0,152,152.2,2,0.1,FALSE,1.58541666666667
2030,1344,170,0,0,1,NA,0,170,170.2,2,0.1,FALSE,1.77291666666667
2031,1473,186,0,0,1,NA,0,186,186.3,2,0.1,FALSE,1.940625
2032,1620,205,0,0,1,NA,0,205,205.2,2,0.1,FALSE,2.1375
2033,1787,228,0,0,1,NA,0,228,227.5,2,0.1,FALSE,2.36979166666667
2034,1954,245,0,0,1,NA,0,245,244.9,2,0.1,FALSE,2.55104166666667
2027,1013,151,0.0300419245765896,0.0561204242806616,0.10847461456331,1,18.3,53,53.5,3,0.1,FALSE,0.557291666666667
2028,1125,171,0.0306296142472549,0.0572443930105528,0.108358808378301,1,20.7,46,46.1,3,0.1,FALSE,0.480208333333333
2029,1252,198,0.0201518631341785,0.0377961652731796,0.0724657421017455,1,14.9,59,59.5,3,0.1,FALSE,0.619791666666667
2030,1393,230,0.012505596067198,0.0234962793441794,0.0452723036043057,1,11.1,71,70.6,3,0.1,FALSE,0.735416666666667
2031,1546,264,0.00525936442562127,0.00989191084867865,0.0190865385338068,1,5.3,85,84.7,3,0.1,FALSE,0.882291666666667
2032,1716,300,0.00118567637696971,0.00223097639215974,0.00429693554316578,1,1.1,97,97.2,3,0.1,FALSE,1.0125
2033,1888,336,0.000449199325422037,0.000865655461176089,0.00166706727513388,1,0.4,110,110.4,3,0.1,FALSE,1.15
2034,2083,367,0,0,0,1,0,123,123.3,3,0.1,FALSE,1.284375
2027,1105,154,0,0,1,1,0,154,153.7,2,0.25,FALSE,1.60104166666667
2028,1341,133,0,0,1,NA,0,133,132.5,2,0.25,FALSE,1.38020833333333
2029,1691,179,0,0,1,NA,0,179,179.3,2,0.25,FALSE,1.86770833333333
2030,2109,221,0,0,1,NA,0,221,221,2,0.25,FALSE,2.30208333333333
2031,2638,280,0,0,1,NA,0,280,279.5,2,0.25,FALSE,2.91145833333333
2032,3285,347,0,0,1,NA,0,347,346.5,2,0.25,FALSE,3.609375
2033,4099,419,0,0,1,NA,0,419,418.5,2,0.25,FALSE,4.359375
2034,5141,533,0,0,1,NA,0,533,532.7,2,0.25,FALSE,5.54895833333333
