"year","pool_size","backlog_n2plus","odds_n0","odds_n1","odds_n2","odds_n3","rookie_slots","formula","growth"
2027,1013,152,0.0533926290640821,0.098641544140622,0.187089751805392,0.336997875666205,33.7,"current",0.1
2028,1131,181,0.0465993350559692,0.0858870548787948,0.160261080119983,0.295147355593009,31.3,"current",0.1
2029,1262,214,0.0401036988331214,0.0747859948423737,0.139557358514035,0.25613936227312,28.8,"current",0.1
2030,1405,245,0.0347585035852639,0.0648083268805276,0.1225322411665,0.225771641037697,30.4,"current",0.1
2031,1551,279,0.0304116069042702,0.0569135309299184,0.107092018605022,0.200126804484987,29.1,"current",0.1
2032,1717,315,0.0267132136962788,0.0497187137037698,0.0944173586126993,0.177214386344402,27.9,"current",0.1
2033,1906,355,0.0232820500735748,0.0436547461975404,0.0827367734235325,0.156458310805523,26.1,"current",0.1
2034,2103,402,0.0207285475750218,0.0388999259262144,0.0741424496173796,0.139995853243685,25.5,"current",0.1
2027,1016,153,0.0285921639327864,0.0835634105888212,0.235754721787241,0.543628719213602,17.8,"base3",0.1
2028,1137,176,0.0265245335850665,0.0767564119073203,0.21067751770141,0.508150666832111,17.1,"base3",0.1
2029,1261,205,0.0225310542519649,0.0657325536361551,0.181890515680425,0.447301638868087,16.3,"base3",0.1
2030,1398,233,0.0189313950017184,0.0553387753082687,0.155652545990443,0.391114788171932,16.1,"base3",0.1
2031,1550,272,0.0157580324848564,0.0464363730120638,0.130870400660748,0.340089145075504,15,"base3",0.1
2032,1716,306,0.0133592806877951,0.0394936941565501,0.112683008345049,0.297621707415914,13.7,"base3",0.1
2033,1901,347,0.0113031245521673,0.0333181305888344,0.0963125464613959,0.256931357429441,12.1,"base3",0.1
2034,2100,388,0.009632093579959,0.0287029316718573,0.0825813669658435,0.226972414665812,11.9,"base3",0.1
2027,1016,152,0.0186390841299497,0.0721511574728077,0.26380382993084,0.688637762351471,11.9,"base4",0.1
2028,1130,171,0.0184557178152207,0.0710846581018033,0.250466258410148,0.673373205459715,12.5,"base4",0.1
