"formula","growth","cohort","kind","yr","value"
"current",0.1,2027,"persistent",1,0.0533926290640822
"current",0.1,2027,"persistent",2,0.134693948280327
"current",0.1,2027,"persistent",3,0.255453775164533
"current",0.1,2027,"persistent",4,0.423551198174059
"current",0.1,2027,"persistent",5,0.628764370766614
"current",0.1,2027,"realised",1,0.0539529914529914
"current",0.1,2027,"realised",2,0.0914529914529914
"current",0.1,2027,"realised",3,0.12099358974359
"current",0.1,2027,"realised",4,0.144818376068376
"current",0.1,2027,"realised",5,0.158974358974359
"current",0.1,2027,"realised",6,0.167094017094017
"current",0.1,2027,"realised",7,0.17008547008547
"current",0.1,2027,"realised",8,0.170673076923077
"current",0.1,2030,"persistent",1,0.0347585035852639
"current",0.1,2030,"persistent",2,0.0896938053463047
"current",0.1,2030,"persistent",3,0.175642511774284
"current",0.1,2030,"persistent",4,0.304620091881963
"current",0.1,2030,"persistent",5,0.484175515916308
"current",0.1,2030,"realised",1,0.0365824308062575
"current",0.1,2030,"realised",2,0.0604893702366627
"current",0.1,2030,"realised",3,0.0811472121941436
"current",0.1,2030,"realised",4,0.100080224628961
"current",0.1,2030,"realised",5,0.113317288407541
"base3",0.1,2027,"persistent",1,0.0285921639327864
"base3",0.1,2027,"persistent",2,0.10315394392796
"base3",0.1,2027,"persistent",3,0.266281735552859
"base3",0.1,2027,"persistent",4,0.55324979912998
"base3",0.1,2027,"persistent",5,0.868559511413451
"base3",0.1,2027,"realised",1,0.0284722222222222
"base3",0.1,2027,"realised",2,0.0648504273504274
"base3",0.1,2027,"realised",3,0.107371794871795
"base3",0.1,2027,"realised",4,0.145886752136752
"base3",0.1,2027,"realised",5,0.170299145299145
"base3",0.1,2027,"realised",6,0.175160256410256
"base3",0.1,2027,"realised",7,0.175267094017094
"base3",0.1,2027,"realised",8,0.175267094017094
"base3",0.1,2030,"persistent",1,0.0189313950017185
"base3",0.1,2030,"persistent",2,0.0644886626938437
"base3",0.1,2030,"persistent",3,0.169904894522401
"base3",0.1,2030,"persistent",4,0.383182356768295
"base3",0.1,2030,"persistent",5,0.706926532325231
"base3",0.1,2030,"realised",1,0.0193341355796229
"base3",0.1,2030,"realised",2,0.0398315282791817
"base3",0.1,2030,"realised",3,0.0659446450060168
"base3",0.1,2030,"realised",4,0.0967107902125953
"base3",0.1,2030,"realised",5,0.120377055756117
